control_id,risk_id,control_name,control_type,control_owner,control_frequency,effectiveness_score,control_status,description
CTRL-00616,RSK-00590,Data Control 616,Preventive,Control Owner 24,Quarterly,92.01,Effective,Management control designed to reduce transformation risk.
CTRL-00617,RSK-00592,Compliance Control 617,Corrective,Control Owner 18,Weekly,94.47,Effective,Management control designed to reduce transformation risk.
CTRL-00618,RSK-00594,Financial Control 618,Corrective,Control Owner 15,Daily,57.54,Effective,Management control designed to reduce transformation risk.
CTRL-00619,RSK-00594,Financial Control 619,Preventive,Control Owner 14,Quarterly,79.23,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00620,RSK-00595,Operational Control 620,Corrective,Control Owner 27,Quarterly,93.31,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00621,RSK-00595,Operational Control 621,Preventive,Control Owner 09,Quarterly,31.34,Effective,Management control designed to reduce transformation risk.
CTRL-00622,RSK-00596,Technology Control 622,Detective,Control Owner 18,Per Transaction,85.19,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00623,RSK-00599,Operational Control 623,Detective,Control Owner 06,Daily,60.68,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00624,RSK-00600,Cybersecurity Control 624,Corrective,Control Owner 08,Weekly,51.25,Weak,Management control designed to reduce transformation risk.
CTRL-00625,RSK-00600,Cybersecurity Control 625,Preventive,Control Owner 02,Quarterly,80.24,Effective,Management control designed to reduce transformation risk.
CTRL-00626,RSK-00601,Financial Control 626,Corrective,Control Owner 18,Monthly,68.27,Effective,Management control designed to reduce transformation risk.
CTRL-00627,RSK-00601,Financial Control 627,Corrective,Control Owner 07,Monthly,41.66,Effective,Management control designed to reduce transformation risk.
CTRL-00628,RSK-00603,Vendor & Dependency Control 628,Corrective,Control Owner 20,Monthly,77.56,Effective,Management control designed to reduce transformation risk.
CTRL-00629,RSK-00606,Data Control 629,Detective,Control Owner 02,Quarterly,59.16,Effective,Management control designed to reduce transformation risk.
CTRL-00630,RSK-00606,Data Control 630,Preventive,Control Owner 06,Daily,94.97,Effective,Management control designed to reduce transformation risk.
CTRL-00631,RSK-00608,Technology Control 631,Preventive,Control Owner 09,Weekly,35.43,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00632,RSK-00609,Financial Control 632,Detective,Control Owner 14,Weekly,33.29,Effective,Management control designed to reduce transformation risk.
CTRL-00633,RSK-00609,Financial Control 633,Preventive,Control Owner 02,Weekly,68.16,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00634,RSK-00611,People & Change Control 634,Preventive,Control Owner 28,Monthly,46.03,Effective,Management control designed to reduce transformation risk.
CTRL-00635,RSK-00611,People & Change Control 635,Detective,Control Owner 29,Per Transaction,84.98,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00636,RSK-00613,Compliance Control 636,Preventive,Control Owner 26,Daily,48.2,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00637,RSK-00613,Compliance Control 637,Preventive,Control Owner 25,Per Transaction,35.11,Effective,Management control designed to reduce transformation risk.
CTRL-00638,RSK-00614,Cybersecurity Control 638,Corrective,Control Owner 18,Quarterly,39.4,Effective,Management control designed to reduce transformation risk.
CTRL-00639,RSK-00616,Data Control 639,Preventive,Control Owner 04,Weekly,52.93,Effective,Management control designed to reduce transformation risk.
CTRL-00640,RSK-00617,People & Change Control 640,Corrective,Control Owner 18,Monthly,74.87,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00641,RSK-00617,People & Change Control 641,Detective,Control Owner 09,Monthly,88.39,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00642,RSK-00618,Data Control 642,Detective,Control Owner 11,Weekly,69.42,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00643,RSK-00618,Data Control 643,Corrective,Control Owner 23,Weekly,58.83,Weak,Management control designed to reduce transformation risk.
CTRL-00644,RSK-00619,Operational Control 644,Corrective,Control Owner 19,Monthly,83.35,Effective,Management control designed to reduce transformation risk.
CTRL-00645,RSK-00619,Operational Control 645,Corrective,Control Owner 23,Daily,61.14,Effective,Management control designed to reduce transformation risk.
CTRL-00646,RSK-00621,People & Change Control 646,Preventive,Control Owner 16,Monthly,86.15,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00647,RSK-00621,People & Change Control 647,Preventive,Control Owner 10,Quarterly,58.26,Weak,Management control designed to reduce transformation risk.
CTRL-00648,RSK-00622,Cybersecurity Control 648,Detective,Control Owner 27,Daily,45.89,Effective,Management control designed to reduce transformation risk.
CTRL-00649,RSK-00622,Cybersecurity Control 649,Detective,Control Owner 01,Quarterly,55.61,Effective,Management control designed to reduce transformation risk.
CTRL-00650,RSK-00624,Financial Control 650,Preventive,Control Owner 03,Per Transaction,77.59,Weak,Management control designed to reduce transformation risk.
CTRL-00651,RSK-00627,Technology Control 651,Preventive,Control Owner 15,Monthly,30.66,Effective,Management control designed to reduce transformation risk.
CTRL-00652,RSK-00628,Vendor & Dependency Control 652,Detective,Control Owner 06,Quarterly,37.26,Effective,Management control designed to reduce transformation risk.
CTRL-00653,RSK-00630,Compliance Control 653,Corrective,Control Owner 08,Per Transaction,85.36,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00654,RSK-00632,Cybersecurity Control 654,Preventive,Control Owner 01,Weekly,30.19,Effective,Management control designed to reduce transformation risk.
CTRL-00655,RSK-00634,Technology Control 655,Detective,Control Owner 18,Daily,71.72,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00656,RSK-00634,Technology Control 656,Preventive,Control Owner 19,Per Transaction,74.02,Weak,Management control designed to reduce transformation risk.
CTRL-00657,RSK-00635,Vendor & Dependency Control 657,Detective,Control Owner 14,Daily,81.51,Effective,Management control designed to reduce transformation risk.
CTRL-00658,RSK-00636,Data Control 658,Corrective,Control Owner 02,Daily,81.6,Effective,Management control designed to reduce transformation risk.
CTRL-00659,RSK-00636,Data Control 659,Detective,Control Owner 07,Monthly,83.19,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00660,RSK-00637,Financial Control 660,Preventive,Control Owner 03,Daily,36.5,Weak,Management control designed to reduce transformation risk.
CTRL-00661,RSK-00641,Technology Control 661,Detective,Control Owner 19,Monthly,94.3,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00662,RSK-00641,Technology Control 662,Corrective,Control Owner 12,Per Transaction,63.86,Weak,Management control designed to reduce transformation risk.
CTRL-00663,RSK-00642,Operational Control 663,Preventive,Control Owner 13,Weekly,81.22,Weak,Management control designed to reduce transformation risk.
CTRL-00664,RSK-00646,Data Control 664,Corrective,Control Owner 22,Monthly,46.58,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00665,RSK-00646,Data Control 665,Preventive,Control Owner 06,Quarterly,61.0,Effective,Management control designed to reduce transformation risk.
CTRL-00666,RSK-00647,Cybersecurity Control 666,Detective,Control Owner 16,Weekly,50.84,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00667,RSK-00647,Cybersecurity Control 667,Detective,Control Owner 11,Weekly,38.92,Weak,Management control designed to reduce transformation risk.
CTRL-00668,RSK-00648,Technology Control 668,Preventive,Control Owner 18,Monthly,59.73,Weak,Management control designed to reduce transformation risk.
CTRL-00669,RSK-00649,Compliance Control 669,Detective,Control Owner 17,Daily,83.59,Effective,Management control designed to reduce transformation risk.
CTRL-00670,RSK-00651,Technology Control 670,Detective,Control Owner 17,Weekly,87.59,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00671,RSK-00651,Technology Control 671,Detective,Control Owner 06,Quarterly,33.82,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00672,RSK-00652,Financial Control 672,Detective,Control Owner 22,Daily,48.16,Effective,Management control designed to reduce transformation risk.
CTRL-00673,RSK-00653,Cybersecurity Control 673,Corrective,Control Owner 28,Daily,66.18,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00674,RSK-00654,Data Control 674,Corrective,Control Owner 11,Weekly,37.96,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00675,RSK-00655,Operational Control 675,Preventive,Control Owner 18,Monthly,64.55,Effective,Management control designed to reduce transformation risk.
CTRL-00676,RSK-00658,Vendor & Dependency Control 676,Corrective,Control Owner 03,Monthly,50.24,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00677,RSK-00659,Data Control 677,Corrective,Control Owner 13,Quarterly,78.09,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00678,RSK-00660,People & Change Control 678,Detective,Control Owner 01,Daily,55.58,Effective,Management control designed to reduce transformation risk.
CTRL-00679,RSK-00664,Compliance Control 679,Preventive,Control Owner 02,Daily,55.31,Needs Improvement,Management control designed to reduce transformation risk.
CTRL-00680,RSK-00667,People & Change Control 680,Detective,Control Owner 17,Monthly,82.4,Needs Improvement,Management control designed to reduce transformation risk.
